date,open,high,low,close,adj_close,volume
2021-07-21,194.55999755859375,195.42999267578125,193.92999267578125,195.1300048828125,178.21383666992188,2112900
2021-07-22,196.11000061035156,196.9600067138672,194.7899932861328,196.77000427246094,179.71165466308594,3244100
2021-07-23,198.0,201.4199981689453,197.61000061035156,200.83999633789062,183.4288330078125,3358100
2021-07-26,196.30999755859375,197.91000366210938,193.83999633789062,197.74000549316406,180.59756469726562,3422200
2021-07-27,197.67999267578125,197.72000122070312,191.49000549316406,193.50999450683594,176.73428344726562,4106100
2021-07-28,193.6699981689453,195.38999938964844,192.0,192.38999938964844,175.71136474609375,2152500
2021-07-29,193.25,194.32000732421875,191.9600067138672,193.6199951171875,176.834716796875,2532800
2021-07-30,192.60000610351562,195.3000030517578,192.4199981689453,192.69000244140625,175.98538208007812,2841600
2021-08-02,193.80999755859375,194.22000122070312,190.85000610351562,190.9600067138672,174.40533447265625,3051700
2021-08-03,191.5800018310547,194.61000061035156,191.47000122070312,193.9499969482422,177.13613891601562,2335100
2021-08-04,193.05999755859375,194.27999877929688,189.80999755859375,189.89999389648438,173.4372100830078,3162200
2021-08-05,190.97000122070312,192.5800018310547,189.99000549316406,190.67999267578125,174.1496124267578,2335500
2021-08-06,191.72999572753906,192.60000610351562,189.82000732421875,190.16000366210938,173.67471313476562,2855000
2021-08-09,189.75,190.16000366210938,187.83999633789062,187.99000549316406,171.6927947998047,2296200
2021-08-10,188.13999938964844,190.86000061035156,187.3699951171875,189.72999572753906,173.28196716308594,2548300
2021-08-11,191.2899932861328,194.7100067138672,191.0,194.52000427246094,177.65673828125,3367300
2021-08-12,194.25999450683594,194.9199981689453,190.7899932861328,192.0,175.3551483154297,2753600
2021-08-13,191.92999267578125,192.35000610351562,189.75999450683594,190.50999450683594,173.99436950683594,2400900
2021-08-16,189.94000244140625,193.88999938964844,189.13999938964844,193.47999572753906,176.7068328857422,3485800
2021-08-17,187.42999267578125,187.85000610351562,182.0800018310547,182.25999450683594,166.45953369140625,8256400
2021-08-18,189.25,203.72000122070312,188.5,199.72999572753906,182.41505432128906,16992700
2021-08-19,198.75,203.32000732421875,198.4600067138672,202.58999633789062,185.02708435058594,5378300
2021-08-20,202.75,208.88999938964844,202.55999755859375,208.2100067138672,190.159912109375,4915700
2021-08-23,208.80999755859375,209.49000549316406,205.72999572753906,206.05999755859375,188.19627380371094,4195200
2021-08-24,206.16000366210938,206.4499969482422,202.85000610351562,203.38999938964844,185.7577667236328,4110400
2021-08-25,203.41000366210938,206.8300018310547,203.07000732421875,206.17999267578125,188.3058624267578,2628800
2021-08-26,205.2899932861328,206.97999572753906,204.0500030517578,205.64999389648438,187.82183837890625,3250400
2021-08-27,205.3699951171875,207.52999877929688,204.75,205.89999389648438,188.05014038085938,3128100
2021-08-30,208.4499969482422,209.41000366210938,204.88999938964844,204.99000549316406,187.2190399169922,3986100
2021-08-31,206.3699951171875,206.58999633789062,203.3300018310547,203.88999938964844,186.21441650390625,4877800
2021-09-01,204.5500030517578,205.0399932861328,201.5500030517578,203.42999267578125,185.7943115234375,2835000
2021-09-02,203.77000427246094,206.6300048828125,203.6999969482422,206.14999389648438,188.2784881591797,2655800
2021-09-03,204.89999389648438,206.8300018310547,204.14999389648438,205.97999572753906,188.12322998046875,2260900
2021-09-07,205.6999969482422,207.24000549316406,204.91000366210938,205.14999389648438,187.3651580810547,2591900
2021-09-08,204.35000610351562,204.4199981689453,201.5,204.08999633789062,186.39706420898438,3344800
2021-09-09,204.47000122070312,204.72000122070312,202.49000549316406,203.00999450683594,185.4107208251953,2566100
2021-09-10,204.77999877929688,206.5800018310547,204.16000366210938,204.3300018310547,186.6162567138672,2505600
2021-09-13,205.72000122070312,207.24000549316406,204.75,206.0500030517578,188.18716430664062,3159000
